Date,Time,Country,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,Country_League,ROUND,Liga
19.08.2023,14:00,ENGLAND,PREMIER LEAGUE - ROUND 2,Fulham,Brentford,"2,7","3,4","2,63","1,95","1,95","1,7","2,05",ENGLAND - PREMIER LEAGUE,PREMIER LEAGUE,ENGLAND
19.08.2023,14:00,ENGLAND,PREMIER LEAGUE - ROUND 2,Liverpool,Bournemouth,"1,2",7,13,"1,33","3,4","1,75",2,ENGLAND - PREMIER LEAGUE,PREMIER LEAGUE,ENGLAND
19.08.2023,14:00,ENGLAND,PREMIER LEAGUE - ROUND 2,Wolves,Brighton,"3,8","3,75","1,91","1,73","2,1","1,67","2,1",ENGLAND - PREMIER LEAGUE,PREMIER LEAGUE,ENGLAND
19.08.2023,16:30,ENGLAND,PREMIER LEAGUE - ROUND 2,Tottenham,Manchester Utd,"2,8","3,6","2,38","1,57","2,38","1,5","2,5",ENGLAND - PREMIER LEAGUE,PREMIER LEAGUE,ENGLAND
19.08.2023,19:00,ENGLAND,PREMIER LEAGUE - ROUND 2,Manchester City,Newcastle,"1,67",4,5,"1,73","2,1","1,7","2,05",ENGLAND - PREMIER LEAGUE,PREMIER LEAGUE,ENGLAND
19.08.2023,18:45,EUROPE,CHAMPIONS LEAGUE - QUALIFICATION - SEMI-FINALS,AEK Athens FC (Gre),D. Zagreb (Cro),"1,91","3,4",4,"2,05","1,8","1,83","1,83",EUROPE - CHAMPIONS LEAGUE - QUALIFICATION,QUALIFICATION,EUROPE - CHAMPIONS LEAGUE
19.08.2023,17:00,FRANCE,LIGUE 1 - ROUND 2,Lyon,Montpellier,"1,7","4,2","4,5","1,57","2,38","1,57","2,25",FRANCE - LIGUE 1,LIGUE 1,FRANCE
19.08.2023,19:00,FRANCE,LIGUE 1 - ROUND 2,Toulouse,Paris SG,5,"4,2","1,65","1,57","2,38","1,62","2,2",FRANCE - LIGUE 1,LIGUE 1,FRANCE
19.08.2023,13:30,GERMANY,BUNDESLIGA - ROUND 1,Augsburg,B. Monchengladbach,"2,7","3,75","2,45","1,62","2,3","1,5","2,5",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,13:30,GERMANY,BUNDESLIGA - ROUND 1,Bayer Leverkusen,RB Leipzig,"2,45","3,6","2,75","1,67","2,2","1,57","2,25",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,13:30,GERMANY,BUNDESLIGA - ROUND 1,Hoffenheim,Freiburg,"2,25","3,6",3,"1,67","2,2","1,53","2,38",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,13:30,GERMANY,BUNDESLIGA - ROUND 1,Stuttgart,Bochum,"1,65","4,33","4,75","1,62","2,3","1,67","2,1",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,13:30,GERMANY,BUNDESLIGA - ROUND 1,Wolfsburg,Heidenheim,"1,6","4,2","5,25","1,62","2,3","1,67","2,1",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,16:30,GERMANY,BUNDESLIGA - ROUND 1,Dortmund,FC Koln,"1,4",5,7,"1,44","2,75","1,62","2,2",GERMANY - BUNDESLIGA,BUNDESLIGA,GERMANY
19.08.2023,16:30,ITALY,SERIE A - ROUND 1,Empoli,Verona,"2,25","3,2","3,3","2,1","1,73","1,8","1,95",ITALY - SERIE A,SERIE A,ITALY
19.08.2023,16:30,ITALY,SERIE A - ROUND 1,Frosinone,Napoli,"9,5","5,25","1,33","1,67","2,2",2,"1,75",ITALY - SERIE A,SERIE A,ITALY
19.08.2023,18:45,ITALY,SERIE A - ROUND 1,Genoa,Fiorentina,"3,4","3,25","2,2","2,1","1,73","1,8","1,95",ITALY - SERIE A,SERIE A,ITALY
19.08.2023,18:45,ITALY,SERIE A - ROUND 1,Inter,Monza,"1,4",5,"7,5","1,57","2,38","1,8","1,95",ITALY - SERIE A,SERIE A,ITALY
19.08.2023,14:30,NETHERLANDS,EREDIVISIE - ROUND 2,Excelsior,Ajax,12,"6,5","1,22","1,29","3,6","1,62","2,2",NETHERLANDS - EREDIVISIE,EREDIVISIE,NETHERLANDS
19.08.2023,16:45,NETHERLANDS,EREDIVISIE - ROUND 2,Vitesse,PSV,6,4,"1,57","1,57","2,35","1,62","2,2",NETHERLANDS - EREDIVISIE,EREDIVISIE,NETHERLANDS
19.08.2023,18:00,NETHERLANDS,EREDIVISIE - ROUND 2,Sittard,Almere City,"1,91","3,6",4,"1,6","2,3","1,53","2,38",NETHERLANDS - EREDIVISIE,EREDIVISIE,NETHERLANDS
19.08.2023,19:00,NETHERLANDS,EREDIVISIE - ROUND 2,G.A. Eagles,FC Volendam,"1,67",4,5,"1,6","2,3","1,62","2,2",NETHERLANDS - EREDIVISIE,EREDIVISIE,NETHERLANDS
19.08.2023,15:00,SPAIN,LALIGA - ROUND 2,Real Sociedad,Celta Vigo,"1,73","3,4","5,5","2,38","1,57","2,2","1,62",SPAIN - LALIGA,LALIGA,SPAIN
